model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-3b-instruct,family1_qa,250,90,0.0,1.0,9409.885957904367,21828.197521425314,0.0,154.85555555555555,2.0912978978933864e-05,6.27389369368016e-06,0.0,4482544.818181818,4882443.708893259,
ollama-llama3-latest,family1_qa,250,90,0.0,0.9666666666666667,16751.078518987117,19251.882833172567,0.0,142.9,3.7226526087795e-05,1.1167957826338499e-05,0.0,4897916.1034482755,5071651.099316321,
ollama-llama2-latest,family1_qa,250,90,0.0,0.06666666666666667,17002.748326869267,19558.444883849003,0.0,134.77777777777777,3.778638779600578e-05,1.1335916338801732e-05,0.0,5571412.5,5571461.600033379,
ollama-gemma-latest,family1_qa,250,90,0.0,0.8888888888888888,17788.371869882878,19878.783210064285,0.0,62.41111111111111,3.9531325878103045e-05,1.1859397763430913e-05,0.0,4870680.545454546,5062004.024424612,
ollama-mistral-7b-instruct,family1_qa,250,90,0.0,0.9666666666666667,20574.010608852324,26629.6935018152,0.0,185.0,4.572198759943903e-05,1.3716596279831707e-05,0.0,4479355044.8,13767298576.023895,
ollama-mistral-latest,family1_qa,250,90,0.0,0.9666666666666667,21319.706480510325,27605.27672066819,0.0,185.0,4.7378678874305125e-05,1.421360366229154e-05,0.0,4479355044.8,13767298576.023895,
ollama-codellama-latest,family1_qa,250,90,0.0,0.022222222222222223,21473.069828668507,25970.076718658675,0.0,329.6333333333333,4.772023779757729e-05,1.4316071339273186e-05,0.0,5594803.0,5594803.0,
ollama-deepseek-coder-latest,family1_qa,500,90,0.0,0.0,4371.93596203708,6427.658585482277,0.0,213.88888888888889,9.716675631024199e-06,2.91500268930726e-06,0.0,,,
ollama-qwen-latest,family1_qa,500,90,0.0,0.0,8395.367209282187,9910.448628594168,0.0,500.0,1.865788595603449e-05,5.597365786810346e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family1_qa,500,90,0.0,1.0,9449.254330095007,10615.314523258712,0.0,142.0,2.1000188713100016e-05,6.300056613930003e-06,0.0,5000940.833333333,5429983.909814666,
ollama-llama2-latest,family1_qa,500,90,0.0,0.06666666666666667,17570.51233939775,20037.24072043551,0.0,160.4111111111111,3.904740517123309e-05,1.1714221551369927e-05,0.0,6752617.0,6753072.863883078,
ollama-gemma-latest,family1_qa,500,90,0.0,0.8888888888888888,17968.773663882166,20153.830074716825,0.0,66.47777777777777,3.9932647912937436e-05,1.1979794373881233e-05,0.0,6455456.446153847,6474720.617601612,
ollama-llama3-latest,family1_qa,500,90,0.0,0.8888888888888888,18001.690967119714,21719.039653940126,0.0,163.95555555555555,4.000597874880218e-05,1.2001793624640657e-05,0.0,6462705.75,6482056.653793048,
ollama-codellama-latest,family1_qa,500,90,0.0,0.03333333333333333,20892.48797866878,25957.18101055827,0.0,306.9888888888889,4.6430388113613175e-05,1.3929116434083945e-05,0.0,6829335.666666667,6832597.756148316,
ollama-mistral-7b-instruct,family1_qa,500,90,0.0,0.9333333333333333,21740.713610751038,27397.997291875072,0.0,210.3111111111111,4.831578403512223e-05,1.449473521053667e-05,0.0,739233606.1,951235944.7086573,
ollama-mistral-latest,family1_qa,500,90,0.0,0.9333333333333333,21972.557827398283,28401.178650243673,0.0,210.3111111111111,4.882965613069812e-05,1.4648896839209438e-05,0.0,739233606.1,951235944.7086573,
ollama-qwen2.5-7b-instruct,family1_qa,500,90,0.0,0.9666666666666667,23472.574993070317,27454.310381109826,0.0,183.01111111111112,5.2166504250561914e-05,1.564995127516857e-05,0.0,6431779.153571429,6464823.435358872,
ollama-deepseek-coder-latest,family1_qa,1000,90,0.0,0.0,4345.8741212548275,6597.292633180041,0.0,209.2111111111111,9.658805233349352e-06,2.8976415700048055e-06,0.0,,,
